"","species","observed","predicted","subplot","plot","year","planted_richness","sown"
"321","Agropyron repens",0,0,5,4,6,1,0
"322","Agrostis scabra",0,0,5,4,6,1,0
"323","Andropogon gerardi",108.5,94.839166210259,5,4,6,1,1
"324","Poa pratensis",0,0,5,4,6,1,0
"325","Schizachyrium scoparium",0,0,5,4,6,1,0
"326","Agropyron repens",69.95,63.7047943848183,7,4,6,1,1
"327","Agrostis scabra",0,0,7,4,6,1,0
"328","Andropogon gerardi",0,0,7,4,6,1,0
"329","Poa pratensis",0,0,7,4,6,1,0
"330","Schizachyrium scoparium",0,0,7,4,6,1,0
"331","Agropyron repens",69.575,63.6023398623523,11,4,6,1,1
"332","Agrostis scabra",0,0,11,4,6,1,0
"333","Andropogon gerardi",0,0,11,4,6,1,0
"334","Poa pratensis",0,0,11,4,6,1,0
"335","Schizachyrium scoparium",0,0,11,4,6,1,0
"336","Agropyron repens",0,0,17,4,6,1,0
"337","Agrostis scabra",37.5,90.1039794919885,17,4,6,1,1
"338","Andropogon gerardi",0,0,17,4,6,1,0
"339","Poa pratensis",0,0,17,4,6,1,0
"340","Schizachyrium scoparium",0,0,17,4,6,1,0
"341","Agropyron repens",0,0,18,4,6,1,0
"342","Agrostis scabra",142.25,86.1264440471091,18,4,6,1,1
"343","Andropogon gerardi",0,0,18,4,6,1,0
"344","Poa pratensis",0,0,18,4,6,1,0
"345","Schizachyrium scoparium",0,0,18,4,6,1,0
"346","Agropyron repens",0,0,19,4,6,1,0
"347","Agrostis scabra",113,80.4097619521947,19,4,6,1,1
"348","Andropogon gerardi",0,0,19,4,6,1,0
"349","Poa pratensis",0,0,19,4,6,1,0
"350","Schizachyrium scoparium",0,0,19,4,6,1,0
"351","Agropyron repens",83.25,75.6014698893526,30,4,6,1,1
"352","Agrostis scabra",0,0,30,4,6,1,0
"353","Andropogon gerardi",0,0,30,4,6,1,0
"354","Poa pratensis",0,0,30,4,6,1,0
"355","Schizachyrium scoparium",0,0,30,4,6,1,0
"356","Agropyron repens",114.75,70.9467229535314,31,4,6,1,1
"357","Agrostis scabra",0,0,31,4,6,1,0
"358","Andropogon gerardi",0,0,31,4,6,1,0
"359","Poa pratensis",0,0,31,4,6,1,0
"360","Schizachyrium scoparium",0,0,31,4,6,1,0
"361","Agropyron repens",82.65,69.590479330169,34,4,6,1,1
"362","Agrostis scabra",0,0,34,4,6,1,0
"363","Andropogon gerardi",0,0,34,4,6,1,0
"364","Poa pratensis",0,0,34,4,6,1,0
"365","Schizachyrium scoparium",0,0,34,4,6,1,0
"366","Agropyron repens",0,0,37,4,6,1,0
"367","Agrostis scabra",0,0,37,4,6,1,0
"368","Andropogon gerardi",0,0,37,4,6,1,0
"369","Poa pratensis",0,0,37,4,6,1,0
"370","Schizachyrium scoparium",166.64999,105.804330073417,37,4,6,1,1
"371","Agropyron repens",0,0,38,4,6,1,0
"372","Agrostis scabra",0,0,38,4,6,1,0
"373","Andropogon gerardi",188.25,103.917792645685,38,4,6,1,1
"374","Poa pratensis",0,0,38,4,6,1,0
"375","Schizachyrium scoparium",0,0,38,4,6,1,0
"376","Agropyron repens",0,0,40,4,6,1,0
"377","Agrostis scabra",0,0,40,4,6,1,0
"378","Andropogon gerardi",0,0,40,4,6,1,0
"379","Poa pratensis",94,64.2655242285925,40,4,6,1,1
"380","Schizachyrium scoparium",0,0,40,4,6,1,0
